Piperacillin–tazobactam induced bicytopenia in low cumulative treatment doses	6954770	PMC6954770.nxml	PTZ	cause of	the most likely cause of neutropenia	PTZ was suspected to be the most likely cause of neutropenia and thrombocytopenia and was hence terminated on day 14 ( cumulative dose of PTZ : 126 g ) following stabilisation of the infection condition .
Monoclonal anti‐dsDNA antibody 2C10 escorts DNA to intracellular DNA sensors in normal mononuclear cells and stimulates secretion of multiple cytokines implicated in lupus pathogenesis	6954677	PMC6954677.nxml	the monoclonal anti‐ds DNA antibody 2C10	cause	DNA cause pathology	Here , we used the monoclonal anti‐ds DNA antibody 2C10 , 2 ‐ kbp ds DNA and healthy human peripheral blood mononuclear cells ( PBMCs ) to test whether and how 2C10 and / or DNA cause pathology in normal cells .
Monoclonal anti‐dsDNA antibody 2C10 escorts DNA to intracellular DNA sensors in normal mononuclear cells and stimulates secretion of multiple cytokines implicated in lupus pathogenesis	6954677	PMC6954677.nxml	2 ‐ kbp ds DNA	cause	DNA cause pathology	Here , we used the monoclonal anti‐ds DNA antibody 2C10 , 2 ‐ kbp ds DNA and healthy human peripheral blood mononuclear cells ( PBMCs ) to test whether and how 2C10 and / or DNA cause pathology in normal cells .
Monoclonal anti‐dsDNA antibody 2C10 escorts DNA to intracellular DNA sensors in normal mononuclear cells and stimulates secretion of multiple cytokines implicated in lupus pathogenesis	6954677	PMC6954677.nxml	healthy human peripheral blood mononuclear cells ( PBMCs ) to test whether	cause	DNA cause pathology	Here , we used the monoclonal anti‐ds DNA antibody 2C10 , 2 ‐ kbp ds DNA and healthy human peripheral blood mononuclear cells ( PBMCs ) to test whether and how 2C10 and / or DNA cause pathology in normal cells .
Monoclonal anti‐dsDNA antibody 2C10 escorts DNA to intracellular DNA sensors in normal mononuclear cells and stimulates secretion of multiple cytokines implicated in lupus pathogenesis	6954677	PMC6954677.nxml	how 2C10	cause	DNA cause pathology	Here , we used the monoclonal anti‐ds DNA antibody 2C10 , 2 ‐ kbp ds DNA and healthy human peripheral blood mononuclear cells ( PBMCs ) to test whether and how 2C10 and / or DNA cause pathology in normal cells .
Monoclonal anti‐dsDNA antibody 2C10 escorts DNA to intracellular DNA sensors in normal mononuclear cells and stimulates secretion of multiple cytokines implicated in lupus pathogenesis	6954677	PMC6954677.nxml	/ or DNA cause pathology in normal cells	cause	DNA cause pathology	Here , we used the monoclonal anti‐ds DNA antibody 2C10 , 2 ‐ kbp ds DNA and healthy human peripheral blood mononuclear cells ( PBMCs ) to test whether and how 2C10 and / or DNA cause pathology in normal cells .
Monoclonal anti‐dsDNA antibody 2C10 escorts DNA to intracellular DNA sensors in normal mononuclear cells and stimulates secretion of multiple cytokines implicated in lupus pathogenesis	6954677	PMC6954677.nxml	the importance of maintaining anti‐DNA antibodies at low levels by treatment	cause	a simple model to demonstrate that anti‐ DNA antibodies can cause dysregulation of cytokine network mimicking systemic lupus erythematosus in culture of normal PBMCs	These results established a simple model to demonstrate that anti‐ DNA antibodies can cause dysregulation of cytokine network mimicking systemic lupus erythematosus in culture of normal PBMCs , and emphasize again the importance of maintaining anti‐DNA antibodies at low levels by treatment .
Medication-induced hyperglycemia: pediatric perspective	6954773	PMC6954773.nxml	The intent of this review of medications that cause hyperglycemia	cause	pediatric drug - induced hyperglycemia	The intent of this review of medications that cause hyperglycemia and their mechanisms of action is to help guide clinicians in prevention , screening and management of pediatric drug - induced hyperglycemia .
Medication-induced hyperglycemia: pediatric perspective	6954773	PMC6954773.nxml	their mechanisms of action	cause	pediatric drug - induced hyperglycemia	The intent of this review of medications that cause hyperglycemia and their mechanisms of action is to help guide clinicians in prevention , screening and management of pediatric drug - induced hyperglycemia .
Functional equivalence of stem cell and stem cell‐derived extracellular vesicle transplantation to repair the irradiated brain	6954724	PMC6954724.nxml	AbstractCranial radiotherapy	leads to	normal tissue damage	AbstractCranial radiotherapy , although beneficial for the treatment of brain tumors , inevitably leads to normal tissue damage that can induce unintended neurocognitive complications that are progressive and debilitating .
A scalable method for parameter-free simulation and validation of mechanistic cellular signal transduction network models	6954118	PMC6954118.nxml	signal transduction networks	leads to	signal transduction networks	Similar methods have not been established for signal transduction networks , where the representation of complexes and internal states leads to scalability issues in both model formulation and execution .
A scalable method for parameter-free simulation and validation of mechanistic cellular signal transduction network models	6954118	PMC6954118.nxml	signal transduction networks	leads to	where the representation of complexes	Similar methods have not been established for signal transduction networks , where the representation of complexes and internal states leads to scalability issues in both model formulation and execution .
A scalable method for parameter-free simulation and validation of mechanistic cellular signal transduction network models	6954118	PMC6954118.nxml	signal transduction networks	leads to	internal states leads to scalability issues in both model formulation	Similar methods have not been established for signal transduction networks , where the representation of complexes and internal states leads to scalability issues in both model formulation and execution .
A scalable method for parameter-free simulation and validation of mechanistic cellular signal transduction network models	6954118	PMC6954118.nxml	signal transduction networks	leads to	execution	Similar methods have not been established for signal transduction networks , where the representation of complexes and internal states leads to scalability issues in both model formulation and execution .
Hypoxia and transforming growth factor β1 regulation of long non‐coding RNA transcriptomes in human pulmonary fibroblasts	6954122	PMC6954122.nxml	excess fibrous tissue	leads to	hypoxic conditions	One of the key characteristics of idiopathic pulmonary fibrosis ( IPF ) is accumulation of excess fibrous tissue in the lung , which leads to hypoxic conditions .
New awakenings: current understanding of sleep dysfunction and its treatment in Parkinson’s disease	6954899	PMC6954899.nxml	sleep disruption	cause	the underlying disease process	The recent discovery of the glymphatic system for removal of waste products from the brain has also raised the possibility that sleep disruption may cause or accelerate the underlying disease process .
